Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,4090
1,0,2,580,4090
2,0,5,1145,4090
3,0,577,1147,4090
4,0,1143,1149,4090
5,0,1704,1151,4090
6,0,2246,1153,0
7,0,2761,1159,0
8,0,2927,1163,0
9,0,2926,1164,0
10,0,2923,1167,0
11,0,2921,1169,0
12,0,2918,1172,0
13,0,2916,1174,0
14,0,2915,1175,0
15,0,2915,1175,0
16,0,2915,1175,0
17,0,2913,1177,0
18,0,2913,1177,0
19,0,2911,1179,0
20,0,2909,1181,0
21,0,2907,1183,0
22,0,2900,1190,0
23,0,2900,1190,0
24,0,2900,1190,0
25,0,2900,1190,0
26,0,2900,1190,0
27,0,2900,1190,0
28,0,2900,1190,0
30,0,2900,1190,0
31,0,2900,1190,0
32,0,2900,1190,0
33,0,2898,1192,0
34,0,2898,1192,0
35,0,2896,1194,0
36,0,2894,1196,0
37,0,2869,1221,0
38,0,2867,1223,0
39,0,2867,1223,0
40,0,2867,1223,0
41,0,2867,1223,0
42,0,2867,1223,0
43,0,2867,1223,0
44,0,2867,1223,0
45,0,2867,1223,0
46,2,2867,1221,0
47,2,2867,1221,0
48,2,2867,1221,0
49,2,2867,1221,0
50,2,2867,1221,0
51,2,2867,1221,0
52,2,2867,1221,0
53,2,2867,1221,0
54,2,2867,1221,0
55,2,2867,1221,0
56,2,2867,1221,0
57,2,2867,1221,0
58,2,2867,1221,0
59,2,2867,1221,0
60,7,2867,1216,0
61,9,2867,1214,0
62,11,2867,1212,0
63,14,2867,1209,0
64,14,2867,1209,0
65,14,2867,1209,0
66,14,2865,1211,0
67,14,2863,1213,0
68,15,2861,1214,0
69,15,2859,1216,0
70,15,2857,1218,0
71,15,2855,1220,0
72,15,2855,1220,0
73,19,2855,1216,0
74,19,2855,1216,0
75,19,2855,1216,0
76,19,2855,1216,4090
77,19,2855,1216,4090
78,20,2855,1215,4090
79,20,2855,1215,4090
80,20,2855,1215,4090
81,20,2855,1215,4090
82,20,2855,1215,4090
83,21,2855,1214,4090
84,21,2855,1214,4090
85,21,2855,1214,4090
86,21,2855,1214,4090
87,21,2855,1214,4090
88,22,2855,1213,4090
89,22,2855,1213,4090
90,22,2855,1213,4090
91,22,2855,1213,4090
92,22,2855,1213,4090
93,23,2855,1212,4090
94,23,2855,1212,4090
95,23,2855,1212,4090
96,23,2855,1212,4090
97,23,2855,1212,4090
98,24,2855,1211,4090
99,24,2855,1211,4090
100,24,2855,1211,4090
101,24,2855,1211,4090
102,24,2855,1211,4090
103,25,2855,1210,4090
104,25,2855,1210,4090
105,25,2855,1210,4090
106,25,2855,1210,4090
107,26,2855,1209,4090
108,29,2855,1206,4090
109,31,2855,1204,4090
110,33,2855,1202,4090
111,34,2855,1201,4090
112,34,2855,1201,4090
113,35,2855,1200,4090
114,35,2855,1200,4090
115,35,2855,1200,4090
116,37,2855,1198,4090
117,40,2855,1195,4090
118,43,2855,1192,4090
119,44,2855,1191,4090
120,44,2855,1191,4090
121,44,2855,1191,4090
122,45,2855,1190,4090
123,48,2855,1187,4090
124,49,2855,1186,4090
125,50,2855,1185,4090
126,51,2855,1184,4090
127,56,2855,1179,4090
128,57,2855,1178,4090
129,57,2855,1178,4090
130,486,2426,1178,4090
131,1057,1855,1178,4090
132,1619,1293,1178,4090
133,2167,746,1177,4090
134,2585,328,1177,4090
135,2913,0,1177,4090
136,2913,0,1177,4090
137,2913,0,1177,4090
138,2913,0,1177,4090
139,2913,0,1177,4090
140,2913,0,1177,4090
141,2913,0,1177,4090
142,2913,0,1177,4090
143,2913,0,1177,4090
144,2913,0,1177,4090
145,2913,0,1177,4090
146,2913,0,1177,4090
147,2913,0,1177,4090
148,2913,0,1177,4090
149,2913,0,1177,4090
150,2913,0,1177,4090
151,2913,0,1177,4090
152,2913,0,1177,4090
153,2913,0,1177,4090
154,2913,0,1177,4090
155,2913,0,1177,4090
156,2913,0,1177,4090
157,2913,0,1177,4090
158,2913,0,1177,4090
159,2913,0,1177,4090
160,2913,0,1177,4090
161,2913,0,1177,4090
162,2913,0,1177,4090
163,2913,0,1177,4090
164,2913,0,1177,4090
165,2913,0,1177,4090
166,2913,0,1177,4090
167,2913,0,1177,4090
168,2913,0,1177,4090
169,2913,0,1177,4090
170,2913,0,1177,4090
171,2913,0,1177,4090
172,2913,0,1177,4090
173,2913,0,1177,4090
174,2913,0,1177,4090
175,2913,0,1177,4090
176,2913,0,1177,4090
177,2913,0,1177,4090
178,2913,0,1177,4090
179,2913,0,1177,4090
180,2913,0,1177,4090
181,2913,0,1177,4090
182,2913,0,1177,4090
183,2913,0,1177,4090
184,2913,0,1177,4090
185,2913,0,1177,4090
186,2913,0,1177,4090
187,2913,0,1177,4090
188,2913,0,1177,4090
189,2913,0,1177,4090
190,2913,0,1177,4090
191,2913,0,1177,4090
192,2913,0,1177,4090
193,3926,0,164,4090
194,3926,0,164,4090
195,3926,0,164,4090
196,3926,0,164,4090
197,3926,0,164,4090
198,3926,0,164,4090
199,3926,0,164,4090
200,3926,0,164,4090
201,3926,0,164,4090
202,3926,0,164,4090
203,3926,0,164,4090
204,3926,0,164,4090
205,3926,0,164,4090
206,3926,0,164,4090
207,3926,0,164,4090
208,3926,0,164,4090
209,3926,0,164,4090
210,3926,0,164,4090
211,3926,0,164,4090
212,3926,0,164,4090
213,3926,0,164,4090
214,3926,0,164,4090
215,3926,0,164,4090
216,3926,0,164,4090
217,3926,0,164,4090
218,3926,0,164,4090
219,3926,0,164,4090
220,3926,0,164,4090
221,3926,0,164,4090
222,3926,0,164,4090
223,3926,0,164,4090
224,3926,0,164,4090
225,3926,0,164,4090
226,3926,0,164,4090
227,3926,0,164,4090
228,3926,0,164,4090
229,3926,0,164,4090
230,3926,0,164,4090
231,3926,0,164,4090
232,3926,0,164,4090
233,3926,0,164,4090
234,3926,0,164,4090
235,3926,0,164,4090
236,3926,0,164,4090
237,3926,0,164,4090
238,3926,0,164,4090
239,3926,0,164,4090
240,3926,0,164,4090
241,3926,0,164,4090
