Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,4000
1,0,2,181,4000
2,0,2,329,4000
3,0,2,505,4000
4,0,2,679,4000
5,0,2,855,4000
6,0,2,1030,4000
7,0,1,1192,4000
8,0,2,1357,4000
9,0,2,1528,4000
10,0,2,1697,4000
11,0,1,1866,4000
12,0,1,1980,4000
13,0,2,2144,4000
14,0,2,2308,4000
15,0,2,2471,4000
16,0,2,2632,4000
17,0,2,2788,4000
18,0,2,2938,4000
19,0,1,3096,4000
20,0,1,3252,4000
21,0,2,3404,4000
22,0,2,3501,4000
23,0,1,3646,4000
24,0,1,3791,4000
25,0,2,3933,4000
26,0,0,4000,4000
27,0,0,4000,4000
28,0,0,4000,4000
29,0,0,4000,4000
30,0,0,4000,4000
31,0,0,4000,4000
32,0,0,4000,4000
33,0,0,4000,4000
34,0,0,4000,4000
35,0,0,4000,4000
36,0,0,4000,4000
37,0,0,4000,4000
38,0,0,4000,4000
39,0,0,4000,4000
40,0,0,4000,4000
41,0,0,4000,4000
42,0,0,4000,4000
43,0,0,4000,4000
44,0,0,4000,4000
45,0,0,4000,4000
46,0,0,4000,4000
47,0,0,4000,4000
48,0,0,4000,4000
49,0,0,4000,4000
50,0,0,4000,4000
51,0,0,4000,4000
52,0,0,4000,4000
53,0,0,4000,4000
54,0,0,4000,4000
55,0,0,4000,4000
56,0,0,4000,4000
57,0,0,4000,4000
58,0,0,4000,4000
59,0,0,4000,4000
60,0,0,4000,4000
61,0,0,4000,4000
62,0,0,4000,4000
63,0,0,4000,4000
64,0,0,4000,4000
65,0,0,4000,4000
66,0,0,4000,4000
67,0,0,4000,4000
68,0,0,4000,4000
69,0,0,4000,4000
70,0,0,4000,4000
71,0,0,4000,4000
72,0,0,4000,4000
73,0,0,4000,4000
74,0,0,4000,4000
75,0,0,4000,4000
76,0,0,4000,4000
77,0,0,4000,4000
78,0,0,4000,4000
79,0,0,4000,4000
80,0,0,4000,4000
81,0,0,4000,4000
82,0,0,4000,4000
83,0,0,4000,4000
84,0,0,4000,4000
85,0,0,4000,4000
86,0,0,4000,4000
87,0,0,4000,4000
88,0,0,4000,4000
89,0,0,4000,4000
90,0,0,4000,4000
91,0,0,4000,4000
92,0,0,4000,4000
93,0,0,4000,4000
94,0,0,4000,4000
95,0,0,4000,4000
96,0,0,4000,4000
97,0,0,4000,4000
98,0,0,4000,4000
99,0,0,4000,4000
100,0,0,4000,4000
101,0,0,4000,4000
102,0,0,4000,4000
103,0,0,4000,4000
104,0,0,4000,4000
105,0,0,4000,4000
106,0,0,4000,4000
107,0,0,4000,4000
108,0,0,4000,4000
109,0,0,4000,4000
110,0,0,4000,4000
111,0,0,4000,4000
112,0,0,4000,4000
113,0,0,4000,4000
114,0,0,4000,4000
115,0,0,4000,4000
116,0,0,4000,4000
117,0,0,4000,4000
118,0,0,4000,4000
119,0,0,4000,4000
120,0,0,4000,4000
121,0,0,4000,4000
122,0,0,4000,4000
123,0,0,4000,4000
124,0,0,4000,4000
125,0,0,4000,4000
126,0,0,4000,4000
127,0,0,4000,4000
128,0,0,4000,4000
129,0,0,4000,4000
130,0,0,4000,4000
131,0,0,4000,4000
132,0,0,4000,4000
133,0,0,4000,4000
134,0,0,4000,4000
135,0,0,4000,4000
136,0,0,4000,4000
137,0,0,4000,4000
138,0,0,4000,4000
139,0,0,4000,4000
140,0,0,4000,4000
141,0,0,4000,4000
142,0,0,4000,4000
143,0,0,4000,4000
144,0,0,4000,4000
145,0,0,4000,4000
146,0,0,4000,4000
147,0,0,4000,4000
148,0,0,4000,4000
149,0,0,4000,4000
150,0,0,4000,4000
151,0,0,4000,4000
152,0,0,4000,4000
153,0,0,4000,4000
154,0,0,4000,4000
155,0,0,4000,4000
156,0,0,4000,4000
157,0,0,4000,4000
158,0,0,4000,4000
159,0,0,4000,4000
160,0,0,4000,4000
161,0,0,4000,4000
162,0,0,4000,4000
163,0,0,4000,4000
164,0,0,4000,4000
165,0,0,4000,4000
166,0,0,4000,4000
167,0,0,4000,4000
168,0,0,4000,4000
169,0,0,4000,4000
170,0,0,4000,4000
171,0,0,4000,4000
172,0,0,4000,4000
173,0,0,4000,4000
174,0,0,4000,4000
175,0,0,4000,4000
176,0,0,4000,4000
177,0,0,4000,4000
178,0,0,4000,4000
179,0,0,4000,4000
180,0,0,4000,4000
181,0,0,4000,4000
182,0,0,4000,4000
183,0,0,4000,4000
184,0,0,4000,4000
185,0,0,4000,4000
186,0,0,4000,4000
187,0,0,4000,4000
188,0,0,4000,4000
189,0,0,4000,4000
190,0,0,4000,4000
191,149,0,3851,4000
192,303,0,3697,4000
193,488,0,3512,4000
194,661,0,3339,4000
195,837,0,3163,4000
196,1000,0,3000,4000
197,1169,0,2831,4000
198,1342,0,2658,4000
199,1512,0,2488,4000
200,1682,0,2318,4000
201,1838,0,2162,4000
202,1959,0,2041,4000
203,2129,0,1871,4000
204,2294,0,1706,4000
205,2458,0,1542,4000
206,2606,0,1394,4000
207,2769,0,1231,4000
208,2924,0,1076,4000
209,3083,0,917,4000
210,3238,0,762,4000
211,3383,0,617,4000
212,3484,0,516,4000
213,3635,0,365,4000
214,3781,0,219,4000
215,3923,0,77,4000
